INFO:root:Start SimCLR training for 200 epochs.
INFO:root:Training with gpu: False.
DEBUG:root:Epoch: 71	Loss: 2.096036911010742	Top1 accuracy: 50.390625
DEBUG:root:Epoch: 72	Loss: 2.4578042030334473	Top1 accuracy: 48.046875
DEBUG:root:Epoch: 73	Loss: 2.1715190410614014	Top1 accuracy: 53.515625
DEBUG:root:Epoch: 74	Loss: 2.3096561431884766	Top1 accuracy: 58.984375
DEBUG:root:Epoch: 75	Loss: 2.3686344623565674	Top1 accuracy: 54.296875
DEBUG:root:Epoch: 76	Loss: 2.3613719940185547	Top1 accuracy: 53.125
DEBUG:root:Epoch: 77	Loss: 2.239788055419922	Top1 accuracy: 51.5625
DEBUG:root:Epoch: 78	Loss: 2.2399721145629883	Top1 accuracy: 55.078125
DEBUG:root:Epoch: 79	Loss: 2.461397886276245	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 80	Loss: 2.1762614250183105	Top1 accuracy: 47.265625
DEBUG:root:Epoch: 81	Loss: 2.1854751110076904	Top1 accuracy: 54.6875
DEBUG:root:Epoch: 82	Loss: 2.180680513381958	Top1 accuracy: 60.546875
DEBUG:root:Epoch: 83	Loss: 1.8490015268325806	Top1 accuracy: 59.765625
DEBUG:root:Epoch: 84	Loss: 1.8262324333190918	Top1 accuracy: 55.078125
DEBUG:root:Epoch: 85	Loss: 2.2747364044189453	Top1 accuracy: 53.90625
DEBUG:root:Epoch: 86	Loss: 2.2128171920776367	Top1 accuracy: 55.859375
DEBUG:root:Epoch: 87	Loss: 2.0645105838775635	Top1 accuracy: 51.953125
DEBUG:root:Epoch: 88	Loss: 1.743205189704895	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 89	Loss: 2.2364511489868164	Top1 accuracy: 61.328125
DEBUG:root:Epoch: 90	Loss: 2.352820873260498	Top1 accuracy: 63.28125
DEBUG:root:Epoch: 91	Loss: 2.140519142150879	Top1 accuracy: 58.984375
DEBUG:root:Epoch: 92	Loss: 2.1413447856903076	Top1 accuracy: 53.125
DEBUG:root:Epoch: 93	Loss: 2.0964109897613525	Top1 accuracy: 56.640625
DEBUG:root:Epoch: 94	Loss: 2.169290542602539	Top1 accuracy: 51.953125
DEBUG:root:Epoch: 95	Loss: 2.023930549621582	Top1 accuracy: 50.0
DEBUG:root:Epoch: 96	Loss: 2.1803760528564453	Top1 accuracy: 53.515625
DEBUG:root:Epoch: 97	Loss: 2.0434486865997314	Top1 accuracy: 50.78125
DEBUG:root:Epoch: 98	Loss: 1.9659771919250488	Top1 accuracy: 53.125
DEBUG:root:Epoch: 99	Loss: 2.3640213012695312	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 100	Loss: 1.9417731761932373	Top1 accuracy: 60.15625
DEBUG:root:Epoch: 101	Loss: 2.115415334701538	Top1 accuracy: 53.515625
DEBUG:root:Epoch: 102	Loss: 1.6118029356002808	Top1 accuracy: 55.46875
DEBUG:root:Epoch: 103	Loss: 2.1106069087982178	Top1 accuracy: 57.8125
DEBUG:root:Epoch: 104	Loss: 2.0646109580993652	Top1 accuracy: 51.171875
DEBUG:root:Epoch: 105	Loss: 2.119826078414917	Top1 accuracy: 59.765625
DEBUG:root:Epoch: 106	Loss: 2.1591739654541016	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 107	Loss: 1.7190347909927368	Top1 accuracy: 64.453125
DEBUG:root:Epoch: 108	Loss: 2.016484260559082	Top1 accuracy: 65.234375
DEBUG:root:Epoch: 109	Loss: 2.089529037475586	Top1 accuracy: 57.03125
DEBUG:root:Epoch: 110	Loss: 2.0842080116271973	Top1 accuracy: 55.859375
DEBUG:root:Epoch: 111	Loss: 1.9971225261688232	Top1 accuracy: 57.8125
DEBUG:root:Epoch: 112	Loss: 1.9311598539352417	Top1 accuracy: 49.609375
DEBUG:root:Epoch: 113	Loss: 1.6132500171661377	Top1 accuracy: 59.375
DEBUG:root:Epoch: 114	Loss: 2.053203821182251	Top1 accuracy: 59.765625
DEBUG:root:Epoch: 115	Loss: 1.9448916912078857	Top1 accuracy: 56.25
DEBUG:root:Epoch: 116	Loss: 1.8375916481018066	Top1 accuracy: 54.6875
DEBUG:root:Epoch: 117	Loss: 2.3138020038604736	Top1 accuracy: 68.75
DEBUG:root:Epoch: 118	Loss: 2.0224475860595703	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 119	Loss: 1.8965948820114136	Top1 accuracy: 55.078125
DEBUG:root:Epoch: 120	Loss: 2.07930064201355	Top1 accuracy: 60.15625
DEBUG:root:Epoch: 121	Loss: 1.668239951133728	Top1 accuracy: 56.25
DEBUG:root:Epoch: 122	Loss: 2.000084638595581	Top1 accuracy: 64.84375
DEBUG:root:Epoch: 123	Loss: 1.7420086860656738	Top1 accuracy: 63.28125
DEBUG:root:Epoch: 124	Loss: 1.8736644983291626	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 125	Loss: 1.8585329055786133	Top1 accuracy: 54.296875
DEBUG:root:Epoch: 126	Loss: 1.6199123859405518	Top1 accuracy: 55.859375
DEBUG:root:Epoch: 127	Loss: 1.9057328701019287	Top1 accuracy: 60.15625
DEBUG:root:Epoch: 128	Loss: 1.8704952001571655	Top1 accuracy: 59.765625
DEBUG:root:Epoch: 129	Loss: 2.1684303283691406	Top1 accuracy: 57.421875
DEBUG:root:Epoch: 130	Loss: 1.7154982089996338	Top1 accuracy: 66.40625
DEBUG:root:Epoch: 131	Loss: 1.5266934633255005	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 132	Loss: 2.2374701499938965	Top1 accuracy: 62.890625
DEBUG:root:Epoch: 133	Loss: 2.0409810543060303	Top1 accuracy: 59.375
DEBUG:root:Epoch: 134	Loss: 1.6558482646942139	Top1 accuracy: 59.375
DEBUG:root:Epoch: 135	Loss: 1.5298532247543335	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 136	Loss: 1.7615879774093628	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 137	Loss: 2.018033981323242	Top1 accuracy: 55.46875
DEBUG:root:Epoch: 138	Loss: 1.9968987703323364	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 139	Loss: 1.6378065347671509	Top1 accuracy: 60.546875
DEBUG:root:Epoch: 140	Loss: 1.884639024734497	Top1 accuracy: 57.421875
DEBUG:root:Epoch: 141	Loss: 1.4801890850067139	Top1 accuracy: 63.671875
DEBUG:root:Epoch: 142	Loss: 1.8622682094573975	Top1 accuracy: 59.375
DEBUG:root:Epoch: 143	Loss: 1.8029652833938599	Top1 accuracy: 62.5
DEBUG:root:Epoch: 144	Loss: 1.6889359951019287	Top1 accuracy: 61.71875
DEBUG:root:Epoch: 145	Loss: 1.9266639947891235	Top1 accuracy: 58.203125
DEBUG:root:Epoch: 146	Loss: 1.6212255954742432	Top1 accuracy: 58.59375
DEBUG:root:Epoch: 147	Loss: 1.792001485824585	Top1 accuracy: 57.421875
DEBUG:root:Epoch: 148	Loss: 1.6122024059295654	Top1 accuracy: 60.546875
DEBUG:root:Epoch: 149	Loss: 2.074120044708252	Top1 accuracy: 55.078125
DEBUG:root:Epoch: 150	Loss: 1.7929025888442993	Top1 accuracy: 62.109375
DEBUG:root:Epoch: 151	Loss: 1.8007400035858154	Top1 accuracy: 66.015625
DEBUG:root:Epoch: 152	Loss: 1.799533724784851	Top1 accuracy: 67.1875
DEBUG:root:Epoch: 153	Loss: 2.02500057220459	Top1 accuracy: 48.046875
DEBUG:root:Epoch: 154	Loss: 2.1583478450775146	Top1 accuracy: 57.421875
DEBUG:root:Epoch: 155	Loss: 1.6652597188949585	Top1 accuracy: 51.171875
